"16810496","16810751","TH","Thailand","Nakhon Sawan","Mae Wong","15.781640","99.518640","60150","+07:00"
"16810752","16811007","TH","Thailand","Nakhon Phanom","Renu Nakhon","17.051570","104.677090","48170","+07:00"
"16811008","16811263","TH","Thailand","Ratchaburi","Damnoen Saduak","13.518240","99.954690","70130","+07:00"
"16811264","16812031","TH","Thailand","Samut Songkhram","Samut Songkhram","13.414560","100.002640","75000","+07:00"
"16812032","16812287","TH","Thailand","Nakhon Pathom","Bang Len","14.021880","100.171830","73130","+07:00"
"16812288","16812543","TH","Thailand","Phra Nakhon Si Ayutthaya","Uthai","14.362780","100.672030","13210","+07:00"
"16812544","16812799","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.750000","100.516670","10200","+07:00"
"16812800","16813055","TH","Thailand","Sa Kaeo","Ta Phraya","14.003080","102.805410","27180","+07:00"
"16813056","16813311","TH","Thailand","Maha Sarakham","Borabue","16.038470","103.119060","44130","+07:00"
"16813312","16813567","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.750000","100.516670","10200","+07:00"
"16813568","16813823","TH","Thailand","Prachuap Khiri Khan","Bang Saphan","11.212590","99.511670","77140","+07:00"
"16813824","16814079","TH","Thailand","Chumphon","Chumphon","10.500000","99.166670","86140","+07:00"
"16814080","16814335","TH","Thailand","Chumphon","Lang Suan","9.945610","99.078470","86110","+07:00"
"16814336","16814591","TH","Thailand","Chumphon","Chumphon","10.500000","99.166670","86140","+07:00"
"16814592","16815103","TH","Thailand","Chumphon","Tha Sae","10.664610","99.172810","86140","+07:00"
"16815104","16815359","TH","Thailand","Chumphon","Chumphon","10.500000","99.166670","86140","+07:00"
"16815360","16815615","TH","Thailand","Chumphon","Lamae","9.767890","99.092560","86170","+07:00"
"16815616","16816127","TH","Thailand","Chumphon","Tha Sae","10.664610","99.172810","86140","+07:00"
"16816128","16816383","TH","Thailand","Ranong","La-Un","10.115560","98.749920","85130","+07:00"
"16816384","16816895","TH","Thailand","Chumphon","Tha Sae","10.664610","99.172810","86140","+07:00"
"16816896","16817919","TH","Thailand","Chumphon","Chumphon","10.500000","99.166670","86140","+07:00"
"16817920","16818175","TH","Thailand","Chumphon","Tha Sae","10.664610","99.172810","86140","+07:00"
"16818176","16818687","TH","Thailand","Chumphon","Chumphon","10.500000","99.166670","86140","+07:00"
"16818688","16818943","TH","Thailand","Chumphon","Lamae","9.767890","99.092560","86170","+07:00"
"16818944","16819711","TH","Thailand","Chumphon","Chumphon","10.500000","99.166670","86140","+07:00"
"16819712","16819967","TH","Thailand","Ranong","La-Un","10.115560","98.749920","85130","+07:00"
"16819968","16820223","TH","Thailand","Krung Thep Maha Nakhon","Bang Kapi","13.765300","100.647000","10240","+07:00"
"16820224","16820479","TH","Thailand","Phangnga","Khura Buri","9.193970","98.415140","82150","+07:00"
"16820480","16820735","TH","Thailand","Phangnga","Takua Pa","8.870500","98.343830","82110","+07:00"
"16820736","16820991","TH","Thailand","Phangnga","Thai Mueang","8.399140","98.260610","82120","+07:00"
"16820992","16821247","TH","Thailand","Phangnga","Ban Phlu Nai","7.933330","98.583330","83110","+07:00"
